Uv,Points:0,Points:1,Points:2
-7.1892E-012,2,2,1.2
0.000002842,2,2,1.2141
6.1353E-006,2,2,1.2283
9.4494E-006,2,2,1.2424
0.000012243,2,2,1.2566
0.000015189,2,2,1.2707
0.000018147,2,2,1.2848
0.000020901,2,2,1.299
0.000024324,2,2,1.3131
0.000027755,2,2,1.3273
0.000030491,2,2,1.3414
0.000033462,2,2,1.3556
0.000036345,2,2,1.3697
0.000039258,2,2,1.3838
0.00004216,2,2,1.398
0.000045065,2,2,1.4121
0.000047969,2,2,1.4263
0.000050874,2,2,1.4404
0.000053777,2,2,1.4545
0.000056682,2,2,1.4687
0.000059583,2,2,1.4828
0.000062485,2,2,1.497
0.000065387,2,2,1.5111
0.000068285,2,2,1.5253
0.000071195,2,2,1.5394
0.000074075,2,2,1.5535
0.000077043,2,2,1.5677
0.000079777,2,2,1.5818
0.000083203,2,2,1.596
0.000086625,2,2,1.6101
0.000089367,2,2,1.6242
0.00009232,2,2,1.6384
0.00009525,2,2,1.6525
0.000098036,2,2,1.6667
0.00010132,2,2,1.6808
0.00010462,2,2,1.6949
0.00010739,2,2,1.7091
0.00011034,2,2,1.7232
0.00011322,2,2,1.7374
0.00011613,2,2,1.7515
0.00011902,2,2,1.7657
0.00012192,2,2,1.7798
0.00012482,2,2,1.7939
0.00012772,2,2,1.8081
0.00013062,2,2,1.8222
0.00013351,2,2,1.8364
0.00013641,2,2,1.8505
0.0001393,2,2,1.8646
0.00014221,2,2,1.8788
0.00014507,2,2,1.8929
0.00014809,2,2,1.9071
0.00015069,2,2,1.9212
0.00015451,2,2,1.9354
0.00015807,2,2,1.9495
0.00016129,2,2,1.9636
0.00016488,2,2,1.9778
0.00016756,2,2,1.9919
0.00017054,2,2,2.0061
0.00017344,2,2,2.0202
0.00017627,2,2,2.0343
0.00017942,2,2,2.0485
0.00018259,2,2,2.0626
0.0001854,2,2,2.0768
0.00018833,2,2,2.0909
0.00019122,2,2,2.1051
0.00019412,2,2,2.1192
0.00019702,2,2,2.1333
0.00019991,2,2,2.1475
0.00020281,2,2,2.1616
0.00020571,2,2,2.1758
0.00020861,2,2,2.1899
0.0002115,2,2,2.204
0.0002144,2,2,2.2182
0.00021729,2,2,2.2323
0.00022021,2,2,2.2465
0.00022305,2,2,2.2606
0.00022613,2,2,2.2747
0.00022856,2,2,2.2889
0.00023293,2,2,2.303
0.00023696,2,2,2.3172
0.00024017,2,2,2.3313
0.0002439,2,2,2.3455
0.0002467,2,2,2.3596
0.00024926,2,2,2.3737
0.00025358,2,2,2.3879
0.00025789,2,2,2.402
0.00026046,2,2,2.4162
0.00026367,2,2,2.4303
0.00026647,2,2,2.4444
0.00026941,2,2,2.4586
0.0002723,2,2,2.4727
0.0002752,2,2,2.4869
0.0002781,2,2,2.501
0.000281,2,2,2.5152
0.00028391,2,2,2.5293
0.00028681,2,2,2.5434
0.00028971,2,2,2.5576
0.00029261,2,2,2.5717
0.00029551,2,2,2.5859
0.00029841,2,2,2.6
0.00030132,2,2,2.6141
0.00030421,2,2,2.6283
0.00030713,2,2,2.6424
0.00031,2,2,2.6566
0.00031301,2,2,2.6707
0.00031564,2,2,2.6848
0.0003194,2,2,2.699
0.00032313,2,2,2.7131
0.00032586,2,2,2.7273
0.00032863,2,2,2.7414
0.00033228,2,2,2.7556
0.00033599,2,2,2.7697
0.00033864,2,2,2.7838
0.00034164,2,2,2.798
