"Uv","Points:0","Points:1","Points:2"
-8.5556e-07,2,2,2.5859
-9.4223e-07,2,2,2.6
-1.026e-06,2,2,2.6141
-1.1162e-06,2,2,2.6283
-1.188e-06,2,2,2.6424
-1.3085e-06,2,2,2.6566
-1.285e-06,2,2,2.6707
-1.6432e-06,2,2,2.6848
-8.7298e-07,2,2,2.699
-1.497e-07,2,2,2.7131
-3.9833e-07,2,2,2.7273
-6.2173e-07,2,2,2.7414
4.2695e-08,2,2,2.7556
7.5169e-07,2,2,2.7697
4.2435e-07,2,2,2.7838
4.4717e-07,2,2,2.798
3.3912e-07,2,2,2.8121
2.753e-07,2,2,2.8263
1.9492e-07,2,2,2.8404
1.1997e-07,2,2,2.8545
4.3481e-08,2,2,2.8687
-3.3798e-08,2,2,2.8828
-1.0691e-07,2,2,2.897
-1.85e-07,2,2,2.9111
-2.5066e-07,2,2,2.9253
-3.2164e-07,2,2,2.9394
-3.8735e-07,2,2,2.9535
-4.568e-07,2,2,2.9677
-5.1905e-07,2,2,2.9818
-5.9917e-07,2,2,2.996
-6.2692e-07,2,2,3.0101
-7.939e-07,2,2,3.0242
-5.4914e-07,2,2,3.0384
-9.4547e-07,2,2,3.0525
3.8344e-07,2,2,3.0667
1.7169e-06,2,2,3.0808
1.3101e-06,2,2,3.0949
1.1467e-06,2,2,3.1091
1.9119e-06,2,2,3.1232
2.1513e-06,2,2,3.1374
3.2149e-06,2,2,3.1515
4.6041e-06,2,2,3.1657
4.084e-06,2,2,3.1798
4.2094e-06,2,2,3.1939
4.0924e-06,2,2,3.2081
4.0572e-06,2,2,3.2222
3.9918e-06,2,2,3.2364
3.9353e-06,2,2,3.2505
3.8793e-06,2,2,3.2646
3.8196e-06,2,2,3.2788
3.7717e-06,2,2,3.2929
3.7188e-06,2,2,3.3071
3.6709e-06,2,2,3.3212
3.6197e-06,2,2,3.3354
3.5745e-06,2,2,3.3495
3.5144e-06,2,2,3.3636
3.4981e-06,2,2,3.3778
3.3656e-06,2,2,3.3919
3.5765e-06,2,2,3.4061
3.7804e-06,2,2,3.4202
3.6642e-06,2,2,3.4343
3.6207e-06,2,2,3.4485
3.6549e-06,2,2,3.4626
3.3941e-06,2,2,3.4768
4.039e-06,2,2,3.4909
4.3095e-06,2,2,3.5051
4.9224e-06,2,2,3.5192
5.793e-06,2,2,3.5333
5.4619e-06,2,2,3.5475
5.5371e-06,2,2,3.5616
5.4597e-06,2,2,3.5758
5.4338e-06,2,2,3.5899
5.389e-06,2,2,3.604
5.3493e-06,2,2,3.6182
5.3115e-06,2,2,3.6323
5.2696e-06,2,2,3.6465
5.2397e-06,2,2,3.6606
5.2045e-06,2,2,3.6747
5.1748e-06,2,2,3.6889
5.1407e-06,2,2,3.703
5.1156e-06,2,2,3.7172
5.0682e-06,2,2,3.7313
5.0859e-06,2,2,3.7455
4.9304e-06,2,2,3.7596
5.2874e-06,2,2,3.7737
5.6385e-06,2,2,3.7879
5.4968e-06,2,2,3.802
5.4946e-06,2,2,3.8162
5.5202e-06,2,2,3.8303
5.3342e-06,2,2,3.8444
5.8256e-06,2,2,3.8586
6.3175e-06,2,2,3.8727
6.1306e-06,2,2,3.8869
6.1733e-06,2,2,3.901
6.1297e-06,2,2,3.9152
6.1153e-06,2,2,3.9293
6.09e-06,2,2,3.9434
6.0683e-06,2,2,3.9576
6.0453e-06,2,2,3.9717
6.0227e-06,2,2,3.9859
6e-06,2,2,4
