"Uv","Points:0","Points:1","Points:2"
-5.9408e-12,2,2,1.2
-2.3336e-07,2,2,1.2141
-1.5488e-08,2,2,1.2283
2.1846e-07,2,2,1.2424
-5.2392e-08,2,2,1.2566
-1.8002e-07,2,2,1.2707
-2.8027e-07,2,2,1.2848
-5.9382e-07,2,2,1.299
-2.2372e-07,2,2,1.3131
1.4653e-07,2,2,1.3273
-1.6736e-07,2,2,1.3414
-2.4995e-07,2,2,1.3556
-4.1942e-07,2,2,1.3697
-5.5954e-07,2,2,1.3838
-7.1063e-07,2,2,1.398
-8.5817e-07,2,2,1.4121
-1.0065e-06,2,2,1.4263
-1.156e-06,2,2,1.4404
-1.3011e-06,2,2,1.4545
-1.4513e-06,2,2,1.4687
-1.5887e-06,2,2,1.4828
-1.7318e-06,2,2,1.497
-1.8689e-06,2,2,1.5111
-2.0114e-06,2,2,1.5253
-2.1421e-06,2,2,1.5394
-2.3026e-06,2,2,1.5535
-2.3757e-06,2,2,1.5677
-2.6811e-06,2,2,1.5818
-2.2996e-06,2,2,1.596
-1.9233e-06,2,2,1.6101
-2.2165e-06,2,2,1.6242
-2.3043e-06,2,2,1.6384
-2.4074e-06,2,2,1.6525
-2.6584e-06,2,2,1.6667
-2.4012e-06,2,2,1.6808
-2.1426e-06,2,2,1.6949
-2.3968e-06,2,2,1.7091
-2.4776e-06,2,2,1.7232
-2.6235e-06,2,2,1.7374
-2.7475e-06,2,2,1.7515
-2.8793e-06,2,2,1.7657
-3.0098e-06,2,2,1.7798
-3.1369e-06,2,2,1.7939
-3.2687e-06,2,2,1.8081
-3.3879e-06,2,2,1.8222
-3.513e-06,2,2,1.8364
-3.6312e-06,2,2,1.8505
-3.7574e-06,2,2,1.8646
-3.8636e-06,2,2,1.8788
-4.0219e-06,2,2,1.8929
-4.0266e-06,2,2,1.9071
-4.44e-06,2,2,1.9212
-3.6446e-06,2,2,1.9354
-3.1103e-06,2,2,1.9495
-2.9143e-06,2,2,1.9636
-2.3472e-06,2,2,1.9778
-2.6788e-06,2,2,1.9919
-2.7209e-06,2,2,2.0061
-2.8293e-06,2,2,2.0202
-3.0175e-06,2,2,2.0343
-2.8732e-06,2,2,2.0485
-2.7261e-06,2,2,2.0626
-2.921e-06,2,2,2.0768
-3.0003e-06,2,2,2.0909
-3.1229e-06,2,2,2.1051
-3.231e-06,2,2,2.1192
-3.3441e-06,2,2,2.1333
-3.4569e-06,2,2,2.1475
-3.5658e-06,2,2,2.1616
-3.6797e-06,2,2,2.1758
-3.7809e-06,2,2,2.1899
-3.8884e-06,2,2,2.204
-3.9876e-06,2,2,2.2182
-4.0987e-06,2,2,2.2323
-4.1783e-06,2,2,2.2465
-4.3404e-06,2,2,2.2606
-4.2591e-06,2,2,2.2747
-4.8255e-06,2,2,2.2889
-3.4762e-06,2,2,2.303
-2.4558e-06,2,2,2.3172
-2.2546e-06,2,2,2.3313
-1.5318e-06,2,2,2.3455
-1.7284e-06,2,2,2.3596
-2.1762e-06,2,2,2.3737
-8.6735e-07,2,2,2.3879
4.3076e-07,2,2,2.402
8.012e-09,2,2,2.4162
2.2456e-07,2,2,2.4303
3.1e-08,2,2,2.4444
-2.3915e-08,2,2,2.4586
-1.3086e-07,2,2,2.4727
-2.2037e-07,2,2,2.4869
-3.1596e-07,2,2,2.501
-4.1076e-07,2,2,2.5152
-5.0211e-07,2,2,2.5293
-5.9806e-07,2,2,2.5434
-6.8213e-07,2,2,2.5576
-7.7113e-07,2,2,2.5717
