Uv,Points:0,Points:1,Points:2
-6.102E-012,2,2,1.2
1.1058E-007,2,2,1.2141
6.7279E-007,2,2,1.2283
1.2538E-006,2,2,1.2424
1.3205E-006,2,2,1.2566
1.5357E-006,2,2,1.2707
1.7703E-006,2,2,1.2848
1.7957E-006,2,2,1.299
0.000002499,2,2,1.3131
3.2059E-006,2,2,1.3273
0.000003223,2,2,1.3414
3.4733E-006,2,2,1.3556
0.000003636,2,2,1.3697
3.8283E-006,2,2,1.3838
4.0095E-006,2,2,1.398
4.1945E-006,2,2,1.4121
0.000004378,2,2,1.4263
4.5621E-006,2,2,1.4404
4.7458E-006,2,2,1.4545
4.9297E-006,2,2,1.4687
5.1132E-006,2,2,1.4828
5.2964E-006,2,2,1.497
5.4808E-006,2,2,1.5111
5.6615E-006,2,2,1.5253
5.8533E-006,2,2,1.5394
6.0155E-006,2,2,1.5535
6.2653E-006,2,2,1.5677
0.000006282,2,2,1.5818
6.9881E-006,2,2,1.596
7.6913E-006,2,2,1.6101
7.7148E-006,2,2,1.6242
7.9488E-006,2,2,1.6384
8.1607E-006,2,2,1.6525
8.2279E-006,2,2,1.6667
8.7994E-006,2,2,1.6808
0.000009375,2,2,1.6949
9.4327E-006,2,2,1.7091
9.6655E-006,2,2,1.7232
9.8326E-006,2,2,1.7374
0.000010022,2,2,1.7515
0.000010203,2,2,1.7657
0.000010387,2,2,1.7798
0.000010569,2,2,1.7939
0.000010752,2,2,1.8081
0.000010935,2,2,1.8222
0.000011117,2,2,1.8364
0.000011301,2,2,1.8505
0.000011479,2,2,1.8646
0.000011677,2,2,1.8788
0.000011822,2,2,1.8929
0.000012121,2,2,1.9071
0.00001201,2,2,1.9212
0.000013115,2,2,1.9354
0.000013958,2,2,1.9495
0.000014458,2,2,1.9636
0.000015334,2,2,1.9778
0.0000153,2,2,1.9919
0.000015561,2,2,2.0061
0.000015748,2,2,2.0202
0.000015859,2,2,2.0343
0.000016299,2,2,2.0485
0.000016744,2,2,2.0626
0.000016843,2,2,2.0768
0.000017059,2,2,2.0909
0.000017231,2,2,2.1051
0.000017418,2,2,2.1192
0.000017599,2,2,2.1333
0.000017782,2,2,2.1475
0.000017965,2,2,2.1616
0.000018147,2,2,2.1758
0.00001833,2,2,2.1899
0.000018511,2,2,2.204
0.000018697,2,2,2.2182
0.000018871,2,2,2.2323
0.000019077,2,2,2.2465
0.0000192,2,2,2.2606
0.000019569,2,2,2.2747
0.000019284,2,2,2.2889
0.000020931,2,2,2.303
0.000022247,2,2,2.3172
0.000022734,2,2,2.3313
0.000023749,2,2,2.3455
0.000023832,2,2,2.3596
0.000023665,2,2,2.3737
0.000025263,2,2,2.3879
0.000026854,2,2,2.402
0.000026705,2,2,2.4162
0.000027202,2,2,2.4303
0.000027284,2,2,2.4444
0.000027507,2,2,2.4586
0.000027676,2,2,2.4727
0.000027864,2,2,2.4869
0.000028045,2,2,2.501
