"Uv","Points:0","Points:1","Points:2"
6.2635e-06,2,2,3.8162
6.2307e-06,2,2,3.8303
5.9874e-06,2,2,3.8444
6.4234e-06,2,2,3.8586
6.8621e-06,2,2,3.8727
6.6126e-06,2,2,3.8869
6.5958e-06,2,2,3.901
6.4916e-06,2,2,3.9152
6.417e-06,2,2,3.9293
6.3313e-06,2,2,3.9434
6.2493e-06,2,2,3.9576
6.1659e-06,2,2,3.9717
6.083e-06,2,2,3.9859
6e-06,2,2,4
