"Uv","Points:0","Points:1","Points:2"
-5.9917e-12,2,2,1.2
-1.6408e-07,2,2,1.2141
1.2352e-07,2,2,1.2283
4.2952e-07,2,2,1.2424
2.2252e-07,2,2,1.2566
1.631e-07,2,2,1.2707
1.2474e-07,2,2,1.2848
-1.2388e-07,2,2,1.299
3.073e-07,2,2,1.3131
7.4121e-07,2,2,1.3273
4.8624e-07,2,2,1.3414
4.6418e-07,2,2,1.3556
3.5462e-07,2,2,1.3697
2.7464e-07,2,2,1.3838
1.8356e-07,2,2,1.398
9.6222e-08,2,2,1.4121
7.4902e-09,2,2,1.4263
-8.0792e-08,2,2,1.4404
-1.6918e-07,2,2,1.4545
-2.5763e-07,2,2,1.4687
-3.4578e-07,2,2,1.4828
-4.3447e-07,2,2,1.497
-5.2169e-07,2,2,1.5111
-6.1269e-07,2,2,1.5253
-6.9257e-07,2,2,1.5394
-8.0203e-07,2,2,1.5535
-8.24e-07,2,2,1.5677
-1.0789e-06,2,2,1.5818
-6.4487e-07,2,2,1.596
-2.1364e-07,2,2,1.6101
-4.6201e-07,2,2,1.6242
-4.9996e-07,2,2,1.6384
-5.597e-07,2,2,1.6525
-7.644e-07,2,2,1.6667
-4.6411e-07,2,2,1.6808
-1.6014e-07,2,2,1.6949
-3.7344e-07,2,2,1.7091
-4.1185e-07,2,2,1.7232
-5.1596e-07,2,2,1.7374
-5.9786e-07,2,2,1.7515
-6.881e-07,2,2,1.7657
-7.7554e-07,2,2,1.7798
-8.6397e-07,2,2,1.7939
-9.5218e-07,2,2,1.8081
-1.0401e-06,2,2,1.8222
-1.1289e-06,2,2,1.8364
-1.2152e-06,2,2,1.8505
-1.3081e-06,2,2,1.8646
-1.3813e-06,2,2,1.8788
-1.5069e-06,2,2,1.8929
-1.4779e-06,2,2,1.9071
-1.8601e-06,2,2,1.9212
-1.0262e-06,2,2,1.9354
-4.5413e-07,2,2,1.9495
-2.2537e-07,2,2,1.9636
3.795e-07,2,2,1.9778
7.398e-08,2,2,1.9919
6.3367e-08,2,2,2.0061
